,Gender,Height,Weight,bmi,birth_yr
1,Male,73.84701702,241.8935632,31.2516266,1975
2,Male,68.78190405,162.3104725,24.17198873,1926
3,Male,74.11010539,212.7408556,27.29042308,1930
4,Male,71.7309784,220.0424703,30.13056195,1935
5,Male,69.88179586,206.3498006,29.77077689,1935
6,Male,67.25301569,152.2121558,23.71046325,1949
7,Male,68.78508125,183.9278886,27.38881894,1950
8,Male,68.34851551,167.9711105,25.33323487,1953
9,Male,67.01894966,175.9294404,27.59672309,1955
10,Male,63.45649398,156.3996764,27.36515626,1956
11,Male,71.19538228,186.6049256,25.93783238,1965
12,Male,71.64080512,213.7411695,29.34144475,1968
13,Male,64.76632913,167.1274611,28.07136165,1970
14,Male,69.2830701,189.4461814,27.80646855,1971
15,Male,69.24373223,186.434168,27.39547288,1972
16,Male,67.6456197,172.1869301,26.51154591,1977
17,Male,72.41831663,196.0285063,26.33519927,1977
18,Male,63.97432572,172.8834702,29.76159934,
19,Male,69.6400599,185.9839576,27.01913503,1934
20,Male,67.93600485,182.426648,27.84854439,1937
21,Male,67.91505019,174.1159291,26.59626683,1940
22,Male,69.43943987,197.7314216,28.89199292,1944
23,Male,66.14913196,149.173566,24.01915924,1946
24,Male,75.20597361,228.7617806,28.49659835,1948
25,Male,67.89319634,162.0066518,24.76250436,1948
26,Male,68.1440328,192.3439766,29.18348521,1949
27,Male,69.08963143,184.4351744,27.22276461,1950
28,Male,72.80084352,206.8281894,27.49483617,1951
29,Male,67.42124228,175.2139224,27.15747197,1952
30,Male,68.49641536,154.3426389,23.17738646,1958
31,Male,68.61811055,187.5068432,28.05781455,1959
32,Male,74.03380762,212.9102253,27.36847358,1959
33,Male,71.52821604,195.0322432,26.8575169,1961
34,Male,69.1801611,205.1836213,30.20603918,1962
35,Male,69.57720237,204.1641255,29.71390546,1963
36,Male,70.40092889,192.9035151,27.42190308,1963
37,Male,69.07617117,197.4882426,29.16076816,1965
38,Male,67.19352328,183.8109732,28.68341363,1966
39,Male,65.80731565,163.8518249,26.6573614,1969
40,Male,64.30418789,163.1080171,27.79143816,1969
41,Male,67.97433623,172.1355974,26.24792456,1972
42,Male,72.18942596,194.0454049,26.23435644,1973
43,Male,65.27034552,168.6177462,27.88596548,1978
44,Male,66.09017738,161.1934326,26.00086148,1946
45,Male,67.51032152,164.6602773,25.45439145,1947
46,Male,70.10478626,188.9223032,27.08333373,1949
47,Male,68.25183644,187.0605522,28.29226766,1952
48,Male,72.17270912,209.0708634,28.27884884,1953
49,Male,69.17985762,192.0143354,28.2675751,1954
50,Male,72.87036015,211.3424968,28.04137019,1954
51,Male,64.78258298,165.6116262,27.80279967,1957
52,Male,70.18354989,201.0719181,28.76040435,1958
53,Male,68.49145025,173.4239603,26.04657383,1959
54,Male,67.33083088,181.4076793,28.19304268,1968
55,Male,66.99094408,169.7377074,26.6477389,1975
56,Male,66.4995499,163.3095283,26.01886464,1918
57,Male,68.35305665,189.7102099,28.60810248,1951
58,Male,70.77445907,192.1248473,27.02368979,1946
59,Male,71.21592367,198.1984641,27.53342831,1950
60,Male,70.01336535,209.5264998,30.11558335,1922
61,Male,71.40318222,198.7597927,27.46677242,1923
62,Male,69.55200509,198.0795237,28.84924836,1923
63,Male,73.81853456,195.2906122,25.2501962,1929
64,Male,66.99688275,164.943303,25.89045743,1931
65,Male,71.41846589,179.8639023,24.84489733,1932
66,Male,65.27930021,155.2504207,25.66823663,1933
67,Male,68.27419147,184.5193912,27.88965297,1937
68,Male,72.76536995,220.6780415,29.36458493,1941
69,Male,68.0993798,183.3126553,27.8496899,1941
70,Male,68.89670607,196.4513123,29.15897444,1941
71,Male,69.28950996,184.5956083,27.08947658,1951
72,Male,70.52322452,207.5328385,29.39928257,1952
73,Male,69.66372523,177.2009288,25.72567827,1965
74,Male,67.59526881,163.1080022,25.15109504,1968
75,Male,72.50812038,216.2182301,28.97565371,1969
76,Male,71.2529856,204.6554938,28.40086079,
77,Male,71.80918689,200.9205712,27.45229232,
78,Male,72.24516548,220.9017699,29.81919012,1914
79,Male,66.51262766,196.4498603,31.2865548,1917
80,Male,66.029034,168.64081,27.25254222,1919
81,Male,67.57715394,181.432713,27.99174861,1919
82,Male,68.2465686,198.6586733,30.0510824,1921
83,Male,73.826127,237.9167359,30.75523507,1922
84,Male,69.80246436,173.0412559,25.02202054,1922
85,Male,65.95957778,160.6839166,26.02141469,1922
86,Male,71.07901758,188.6029191,26.30145691,1922
87,Male,66.59619654,208.345694,33.0978593,1923
88,Male,68.95153509,193.4351185,28.66564206,1923
89,Male,68.24446179,174.1096938,26.33918632,1923
90,Male,72.31682512,197.3685892,26.58970769,1924
91,Male,71.81542045,201.6206667,27.54316606,1925
92,Male,65.23704952,181.0119732,29.96628528,1925
93,Male,70.64053009,182.122486,25.71401539,1926
94,Male,64.7319256,177.5492634,29.85355475,1927
95,Male,67.10355118,164.9745807,25.81310535,1927
96,Male,65.11748489,165.7171122,27.53508045,1928
97,Male,71.70123402,193.0941635,26.46245396,1928
98,Male,66.83287821,180.683887,28.50055545,1929
99,Male,66.47127526,172.7737229,27.55014562,1930
100,Male,69.41152622,177.4706162,25.95239835,1930
101,Male,70.05217747,200.8187373,28.83202742,1931
102,Male,66.74360465,167.7397753,26.52961636,1932
103,Male,66.27432912,154.3956248,24.76615222,1932
104,Male,68.32844799,177.9847286,26.85924848,1932
105,Male,70.0758882,183.938857,26.3906745,1934
106,Male,68.73298815,179.2047821,26.72596364,1934
107,Male,67.55605126,158.5679874,24.47942597,1935
108,Male,66.25363253,166.5035316,26.7250354,1935
109,Male,69.18220268,171.9836776,25.31702612,1936
110,Male,67.60910494,174.3641824,26.87578348,1938
111,Male,69.29273802,187.7453519,27.54913568,1939
112,Male,68.19068401,201.4879624,30.52904649,1939
113,Male,71.6070858,204.9270121,28.15797622,1940
114,Male,69.19685751,178.6855465,26.2924411,1940
115,Male,67.26196098,164.0144277,25.54213714,1941
116,Male,73.6851934,223.2700044,28.97237877,1941
117,Male,69.53721501,202.9583063,29.57239325,1942
118,Male,68.31155984,189.3917856,28.5947934,1942
119,Male,67.73896347,178.1705556,27.3572897,1942
120,Male,71.7057626,223.2993352,30.59803529,1943
121,Male,63.6322646,167.0287067,29.06367898,1944
122,Male,68.72119846,180.468682,26.92369277,1945
123,Male,66.94934165,164.4391456,25.84799251,1945
124,Male,62.70698974,149.9696184,26.87111018,1946
125,Male,72.25840892,192.9102666,26.03111561,1947
126,Male,70.90865306,201.8839987,28.28900389,1947
127,Male,67.6098436,179.868026,27.72351768,1947
128,Male,70.80155896,196.4677247,27.61339489,1948
129,Male,69.30476905,187.5516495,27.51115829,1948
130,Male,66.24289834,171.6931597,27.56694057,1949
131,Male,67.49219298,191.6996048,29.65025052,1949
132,Male,65.80624829,165.8506478,26.98342896,1949
133,Male,71.44370566,185.6627413,25.62778325,1949
134,Male,68.46440582,178.2818007,26.79733182,1950
135,Male,63.9879246,150.9790513,25.97974428,1950
136,Male,71.00189769,209.9293234,29.33914289,1951
